Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407081,KAVERAMMAPET-6,65,2,0,67,0,0,61,5,1
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407014,GANDHI NAGAR,52,5,2,58,0,1,35,15,9
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407077,KAVERAMMAPET-2,54,0,0,54,0,0,54,0,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407080,KAVERAMMAPET-5,118,0,0,118,0,0,108,10,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407020,VIJAYANAGAR COLONY,100,6,0,105,1,0,100,6,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407071,CHITTEBOINPALLY,31,0,0,31,0,0,15,14,2
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407016,SRINIVASNAGAR,77,2,0,79,0,0,62,14,3
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407084,SHANKARAIPALLY,32,0,0,32,0,0,32,0,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407019,HOUSINGBOARD COLONY,110,0,0,110,0,0,103,7,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407070,MALLEBOINPALLY,84,6,1,90,1,0,85,5,1
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407072,MANGALIKUNTA (T),26,0,0,26,0,0,26,0,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407018,KUMMARIVADA-1,63,2,0,64,1,0,63,2,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407073,POCHAMMAGADDA(T),30,2,0,31,1,0,24,7,1
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407087,DEVUNGUTTA T.,29,1,0,26,2,2,18,5,7
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407034,INDIRANAGAR,98,0,0,97,1,0,70,17,11
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407035,VENKATESHWARA COL.,72,3,1,72,3,1,51,22,3
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407076,KAVERAMMAPET-1,39,3,0,42,0,0,41,1,0
2023,5,MAHABUBNAGAR,JEDCHERLA,Kavarampet,1407083,BANDAMEEDIPALLY,59,3,0,62,0,0,53,9,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417123,Buddaram-III,22,0,0,22,0,0,22,0,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417107,Munnanoor-II,28,12,1,37,4,0,26,6,9
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417125,Buddaram-V,30,0,0,30,0,0,30,0,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417102,Gopalpet-IV,68,4,0,72,0,0,72,0,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417109,Polkepahad-I,56,0,0,56,0,0,56,0,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417101,Gopalpeta-III,27,0,0,27,0,0,27,0,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417110,Polkepahad-II,54,0,2,55,1,0,53,1,2
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417212,Amadala kunta T (Mini),19,2,0,20,0,1,17,4,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417108,Jaina Thirumalapur,54,1,1,53,2,1,52,4,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417106,Munnanoor-I,36,5,0,39,2,0,37,3,1
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417105,Tadiparthy-II,69,0,1,70,0,0,69,0,1
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417215,Dharma Tanda (Mini),14,1,0,15,0,0,10,4,1
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417121,Buddaram-I,32,2,0,34,0,0,24,10,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417126,Buddaram-VI,38,0,1,38,1,0,37,2,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417128,Chennuru-II,24,5,0,29,0,0,26,3,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417129,Chennuru-III,18,0,0,18,0,0,18,0,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417103,Gopalpeta-V,35,0,0,35,0,0,35,0,0
2023,5,WANAPARTHY,WANAPARTHY,Gopalpet,1417112,Polkepahad-IV,54,0,0,54,0,0,53,0,1
