Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605152,S.V.Nagar-IV,54,8,0,60,2,0,56,6,0
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605116,Arsha Mahal-I,106,0,0,105,1,0,106,0,0
2023,6,SIDDIPET,HUSNABAD,SHANIGARAM,2003151,Pakirpalli,18,2,0,20,0,0,18,2,0
2023,6,SIDDIPET,HUSNABAD,SHANIGARAM,2003120,Narayanapur,27,2,0,29,0,0,25,4,0
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605097,S V Nagar-I,54,3,0,57,0,0,52,4,1
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605112,K R Guda-III,107,0,1,108,0,0,16,20,72
2023,6,SIDDIPET,HUSNABAD,SHANIGARAM,2003121,Gotlamitta,32,0,0,32,0,0,23,4,5
2023,6,SIDDIPET,HUSNABAD,SHANIGARAM,2003155,Somarm palli,15,2,0,16,1,0,16,1,0
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605120,S V Nagar-III,104,0,0,104,0,0,93,11,0
2023,6,KARIMNAGAR,HUZURABAD,Huzurabad,2004033,Dhammakkapet-1,41,1,0,42,0,0,17,23,2
2023,6,KARIMNAGAR,HUZURABAD,Huzurabad,2004216,Superbazar,71,16,0,87,0,0,63,24,0
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605098,S V Nagar-II,76,0,0,76,0,0,76,0,0
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605179,Nazam Nagar,191,0,0,191,0,0,191,0,0
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605095,D S Tabela,70,2,0,72,0,0,54,16,2
2023,6,SIDDIPET,HUSNABAD,SHANIGARAM,2003119,Ramchandrapur,25,1,1,23,4,0,22,4,1
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605151,Asad baba nagar-III,113,2,0,111,4,0,108,7,0
2023,6,HYDERABAD,NAMPALLY,BAHADURPURA I,1605115,Sikh Chowki,93,0,0,92,1,0,93,0,0
2023,6,SIDDIPET,HUSNABAD,SHANIGARAM,2003139,Varikol-II,35,3,0,36,1,1,35,3,0
2023,6,KARIMNAGAR,HUZURABAD,Huzurabad,2004007,Huzurabad-7,79,3,0,82,0,0,61,21,0
2023,6,NAGARKURNOOL,BALMOOR,Lingal,1420141,Komatikunta-I,28,2,0,30,0,0,26,4,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420158,Madimalakala (Mini),6,0,0,6,0,0,5,1,0
2023,6,NAGARKURNOOL,BALMOOR,Lingal,1420144,Kothadararam-I,55,4,0,58,1,0,59,0,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420130,Pollaya Pally(Mini),1,0,0,1,0,0,1,0,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420137,Erlapenta (Mini),22,0,0,22,0,0,22,0,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420162,Agarlapenta(Mini),6,0,0,6,0,0,6,0,0
2023,6,NAGARKURNOOL,BALMOOR,Lingal,1420176,Surapur-I,29,5,0,34,0,0,25,9,0
2023,6,NAGARKURNOOL,BALMOOR,Lingal,1420129,Baljithanda,25,0,0,25,0,0,24,1,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420134,Chennampally,34,1,0,34,1,0,31,3,1
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420122,Appaipally (Mini),40,1,0,38,3,0,32,9,0
2023,6,NAGARKURNOOL,BALMOOR,Lingal,1420156,Lingal-VI,48,0,0,48,0,0,42,6,0
2023,6,NAGARKURNOOL,BALMOOR,Lingal,1420153,Lingala -I,26,0,0,26,0,0,26,0,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420160,Mallonicheruthanda,28,0,0,28,0,0,23,4,1
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420167,Rampur (Mini),12,0,0,12,0,0,12,0,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420138,Farhabad (Mini),2,0,0,2,0,0,2,0,0
2023,6,NAGARKURNOOL,BALMOOR,Lingal,1420165,Pathadararam,39,2,0,39,2,0,41,0,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420179,Yerrapenta,28,0,0,28,0,0,27,0,1
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420173,Sangadigundalu (Mini),6,0,0,6,0,0,5,1,0
2023,6,NAGARKURNOOL,BALMOOR,Appaipally,1420131,Bourapoor (Mini),8,0,0,8,0,0,8,0,0
2023,6,RANGAREDDY,CHEVELLA,TANGATOOR,1502114,Janwada I,151,2,1,152,2,0,151,3,0
2023,6,RANGAREDDY,CHEVELLA,TANGATOOR,1502131,Gopularam,67,0,0,67,0,0,67,0,0
2023,6,RANGAREDDY,CHEVELLA,TANGATOOR,1502132,Dontanpally,47,0,0,46,0,1,47,0,0
2023,6,RANGAREDDY,CHEVELLA,TANGATOOR,1502118,Mokila I,149,0,0,149,0,0,149,0,0
2023,6,RANGAREDDY,CHEVELLA,TANGATOOR,1502143,Ramanthapur,38,0,0,38,0,0,38,0,0
