Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1901339,Cherkuvai(Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905210,Gudihatnoor-I,46,1,2,49,0,0,5,12,32
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905211,Gudihatnoor-II,39,12,5,55,1,0,6,23,27
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905212,Gudihatnoor-III,28,17,5,43,4,3,23,14,13
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905213,Gudihatnoor-IV,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905214,Gudihatnoor-V,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905215,Mankapur-2,7,8,8,17,4,2,8,2,13
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905216,Lingapur,16,3,3,18,1,3,9,4,9
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905221,Seethagondi,21,19,4,36,5,3,22,12,10
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905223,Thosham-I,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905224,Thosham-II,15,3,0,18,0,0,7,3,8
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905225,Vaizapur,14,2,1,17,0,0,5,3,9
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905227,Bapanaiktanda,14,17,7,38,0,0,4,3,31
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905231,Malkapur,9,1,0,5,4,1,10,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905236,Takiguda,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905240,Toyaguda,9,6,2,15,1,1,1,2,14
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905241,Kamalapur,15,6,3,13,6,5,14,4,6
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905242,Garkampet,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905246,ToshamInkerguda,40,21,3,57,6,1,30,18,16
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905248,Habeebguda (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905249,Boramaddi,3,3,0,6,0,0,1,3,2
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905252,Rajulaguda,11,6,2,9,3,7,15,3,1
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905266,Gudihatnoor-VI,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905269,Sitagondi-II,38,6,1,43,1,1,11,11,23
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905270,Chintaguda,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905299,Chinnamalkapur(Mini),2,2,0,3,1,0,3,1,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905300,Lendiguda (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905301,Mankuguda (Mini),1,2,1,3,0,1,2,1,1
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905302,Kodduguda,3,3,2,6,1,1,2,2,4
2018,6,ADILABAD,ADILABAD(U),Gudihathnur,1905306,Ravinndranagar colony(phc area)(Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905217,Kollari-2,33,11,5,47,2,0,11,16,22
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905218,Manoor-I,17,12,0,27,2,0,15,8,6
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905219,Sainagar,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905220,Shanthapur,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905222,Dhajitanda,17,2,1,13,4,3,17,1,2
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905226,Gond Harkapur,10,3,1,13,1,0,10,2,2
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905228,Soyamguda,10,7,3,19,1,0,5,5,10
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905229,Umri-B,12,5,3,19,1,0,5,3,12
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905230,Shanthapur-II,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905232,Tejapur,6,4,2,12,0,0,5,2,5
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905233,Shambuguda,11,6,3,16,3,1,10,7,3
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905234,Damanguda,7,5,1,12,1,0,2,3,8
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905235,Machapur,12,3,0,14,0,1,6,2,7
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905237,Kolamguda,10,2,4,16,0,0,4,2,10
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905238,Dongargaom,16,6,4,26,0,0,6,2,18
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905239,Guruja,22,9,7,38,0,0,7,3,28
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905243,Suryaguda,15,12,6,29,3,1,9,5,19
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905244,Kolharitanda,25,8,4,36,1,0,1,5,31
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905245,Chinamanoor,7,2,1,8,2,0,4,3,3
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905247,Muthnoor,21,11,4,36,0,0,2,1,33
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905250,Machapurtanda,6,0,0,3,1,2,5,0,1
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905251,Inkerguda,10,4,1,13,0,2,7,4,4
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905267,Mannur-III,30,3,0,21,10,2,29,2,2
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905268,Mannur-IV,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905296,Telangaraoguda (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905298,Neradigonda (Mini),15,1,1,15,0,2,10,3,4
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905303,Belluri (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905304,Mamidiguda(Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),MANNUR,1905305,Tekidiguda (Isruguda) (Mini),5,4,8,17,0,0,2,1,14
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901002,Ankoli-I,35,17,3,53,2,0,17,17,21
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901014,Chinchughat,0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901015,Chinaborigoam,7,6,15,14,6,8,8,5,15
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901032,Lokari,24,14,1,36,0,3,3,1,35
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901033,Male Boprigoam,7,9,4,19,0,1,1,1,18
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901037,Pandiriloddi,6,1,2,8,1,0,2,2,5
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901041,Tantoli-I,4,9,1,6,5,3,11,1,2
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901042,Tantoli-II,19,15,3,33,1,3,11,5,21
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901051,Sirikonda,17,9,8,25,6,3,17,11,6
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901054,Vanwat,15,15,7,34,0,3,0,3,34
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901061,Chinnalokari,2,4,12,12,1,5,6,2,10
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901064,Ankapur,15,16,10,31,8,2,8,16,17
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901065,Ankoli-II,26,10,3,38,1,0,14,3,22
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901118,KOTHUR (ANKOLI),6,9,4,12,6,1,8,6,5
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901334,CHINTHAGUDA(ANKOLI) (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901338,KOLAMGUDA (ANKL) (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901347,Socity Guda (Mini),5,2,1,3,2,3,5,2,1
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901348,Takatiguda (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901349,Chinnapandiriloddi (Mini),0,0,0,0,0,0,0,0,0
2018,6,ADILABAD,ADILABAD(U),ANKOLI,1901350,Gundamloddi (Mini),1,1,1,3,0,0,0,1,2
