Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207061,Gareebpeta-3,22,3,0,24,1,0,16,3,6
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207065,Sujathanagar-1,17,10,2,28,1,0,8,5,16
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207068,Keshavapuram-2,30,4,0,31,3,0,25,5,4
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207071,Vepalagadda,46,10,2,55,1,2,23,15,20
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207072,Komatipally,39,3,1,41,1,1,37,2,4
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218086,Adavi Ramavaram,0,8,1,8,1,0,1,6,2
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218100,Bhupathirao Peta,31,6,1,38,0,0,13,13,12
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218103,Bridge Gumphu (Mini),6,3,1,10,0,0,3,2,5
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218167,Pandu Rangapuram,8,7,16,12,6,13,13,6,12
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218036,Kondapuram,28,4,1,33,0,0,23,4,6
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207062,Nimmalagudem,28,6,0,33,0,1,21,7,6
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207362,Garibpeta SC Colony (Mini),13,5,1,19,0,0,6,0,13
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218158,Mukundapuram,8,3,2,10,1,2,5,3,5
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218194,T.Kothagudem,9,8,7,23,1,0,3,3,18
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218043,Mamidithota,0,0,0,0,0,0,0,0,0
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218045,Manuguru-2,0,0,0,0,0,0,0,0,0
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218058,Rajupeta-1,0,0,0,0,0,0,0,0,0
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207078,Raghuvapuram-2,21,4,0,21,3,1,18,6,1
2019,6,YADADRI-BHUVANGIRI,ALAIR (R),Sharajipet,2301013,Gholankonda-2,0,0,0,0,0,0,0,0,0
2019,6,YADADRI-BHUVANGIRI,ALAIR (R),Sharajipet,2301020,Tangutur-2,0,0,0,0,0,0,0,0,0
2019,6,YADADRI-BHUVANGIRI,ALAIR (R),Sharajipet,2301039,kandigaddaThanda,0,0,0,0,0,0,0,0,0
2019,6,KHAMMAM,KALLUR,Kalluru,2204003,Kallur-3,15,2,0,17,0,0,13,1,3
2019,6,KHAMMAM,KALLUR,Kalluru,2204005,Kallur-5,13,5,3,20,1,0,7,1,13
2019,6,YADADRI-BHUVANGIRI,ALAIR (R),Sharajipet,2301019,Tangutur-1,0,0,0,0,0,0,0,0,0
2019,6,KHAMMAM,KALLUR,Kalluru,2204006,Kallur-6,10,0,3,12,0,1,8,1,4
2019,6,YADADRI-BHUVANGIRI,ALAIR (R),Sharajipet,2301017,Sharajipta-2,0,0,0,0,0,0,0,0,0
2019,6,KHAMMAM,KALLUR,Chinthagudem,2204174,Kothuru,15,5,0,17,3,0,12,5,3
2019,6,MEDCHAL - MALKAJIGIRI,ALWAL,Ghatkesar,1503147,Ghatkesar - I,45,4,1,49,0,1,42,5,3
2019,6,YADADRI-BHUVANGIRI,ALAIR (R),Sharajipet,2301021,Tangutur-3,0,0,0,0,0,0,0,0,0
2019,6,KHAMMAM,KALLUR,Kalluru,2204004,Kallur-4,14,3,0,17,0,0,1,2,14
2019,6,KHAMMAM,KALLUR,Kalluru,2204021,Laxmathanda,6,1,0,5,2,0,4,0,3
2019,6,KHAMMAM,KALLUR,Kalluru,2204187,MADHIRA ROAD (Mini),4,1,1,6,0,0,1,1,4
2019,6,MEDCHAL - MALKAJIGIRI,ALWAL,Ghatkesar,1503152,Ghatkesar-VI (ward no-10),36,3,0,39,0,0,17,15,7
2019,6,MEDCHAL - MALKAJIGIRI,ALWAL,Ghatkesar,1503169,Ankushapur - I,27,4,0,31,0,0,16,4,11
2019,6,KHAMMAM,KALLUR,Kalluru,2204013,Kallur-13,8,1,1,10,0,0,0,1,9
2019,6,KHAMMAM,KALLUR,Chinthagudem,2204182,Kondurupadu-3,15,2,3,15,0,5,9,7,4
2019,6,MEDCHAL - MALKAJIGIRI,ALWAL,Ghatkesar,1503157,Edulabad-I (ward no-5&6),7,5,8,19,0,1,0,0,20
2019,6,BHADRADRI-KOTHAGUDEM,KOTHAGUDEM (U),SeetampetaBanjara,2207329,Golconda (Mini),4,1,3,8,0,0,1,2,5
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218127,Ippalagumphu,3,7,3,5,4,4,9,3,1
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218144,Kothuru,14,4,5,22,1,0,5,7,11
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218059,Rajupeta-2,0,0,0,0,0,0,0,0,0
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218076,Sivalingapuram SC Colony (Mini),21,3,0,18,3,3,19,3,2
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Janampeta,2218193,Sundaraiah Nagar,9,6,1,15,0,1,7,4,5
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218010,Bandarigudem-1,0,0,0,0,0,0,0,0,0
2019,6,BHADRADRI-KOTHAGUDEM,MANUGURU,Manuguru,2218044,Manuguru-1,16,12,4,32,0,0,4,2,26
