Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1901339,Cherkuvai(Mini),0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905210,Gudihatnoor-I,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905211,Gudihatnoor-II,62,19,1,71,9,2,51,19,12
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905212,Gudihatnoor-III,41,19,6,60,4,2,25,14,27
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905213,Gudihatnoor-IV,122,1,0,123,0,0,78,40,5
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905214,Gudihatnoor-V,46,34,5,56,7,22,58,24,3
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905215,Mankapur-2,21,5,1,22,3,2,21,3,3
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905216,Lingapur,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905221,Seethagondi,37,2,0,39,0,0,17,18,4
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905223,Thosham-I,2,0,0,2,0,0,0,0,2
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905224,Thosham-II,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905225,Vaizapur,17,0,0,17,0,0,15,2,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905227,Bapanaiktanda,29,5,0,33,0,1,8,9,17
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905231,Malkapur,18,0,0,18,0,0,18,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905236,Takiguda,27,0,0,27,0,0,22,5,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905240,Toyaguda,6,4,4,14,0,0,3,2,9
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905241,Kamalapur,27,5,0,31,1,0,17,6,9
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905242,Garkampet,12,8,0,18,2,0,10,4,6
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905246,ToshamInkerguda,67,8,1,71,4,1,62,12,2
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905248,Habeebguda (Mini),6,0,0,5,1,0,4,1,1
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905249,Boramaddi,11,0,0,11,0,0,11,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905252,Rajulaguda,9,1,2,11,1,0,10,0,2
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905266,Gudihatnoor-VI,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905269,Sitagondi-II,24,4,0,28,0,0,20,6,2
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905270,Chintaguda,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905299,Chinnamalkapur(Mini),21,0,0,21,0,0,12,5,4
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905300,Lendiguda (Mini),0,2,0,1,1,0,1,1,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905301,Mankuguda (Mini),0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905302,Kodduguda,3,2,1,4,0,2,4,2,0
2022,2,ADILABAD,ADILABAD(U),Gudihathnur,1905306,Ravinndranagar colony(phc area)(Mini),0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905217,Kollari-2,55,7,1,62,1,0,37,11,15
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905218,Manoor-I,40,11,1,49,2,1,37,11,4
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905219,Sainagar,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905220,Shanthapur,66,1,0,67,0,0,51,3,13
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905222,Dhajitanda,46,8,6,56,3,1,23,17,20
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905226,Gond Harkapur,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905228,Soyamguda,20,2,0,22,0,0,18,3,1
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905229,Umri-B,29,5,5,33,0,6,20,6,13
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905230,Shanthapur-II,45,2,4,47,1,3,28,13,10
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905232,Tejapur,2,0,1,0,1,2,2,0,1
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905233,Shambuguda,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905234,Damanguda,15,5,4,18,5,1,15,2,7
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905235,Machapur,14,1,1,12,3,1,14,1,1
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905237,Kolamguda,17,1,1,13,4,2,15,2,2
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905238,Dongargaom,27,1,1,27,1,1,18,3,8
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905239,Guruja,32,17,1,49,1,0,20,21,9
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905243,Suryaguda,24,6,1,28,0,3,17,10,4
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905244,Kolharitanda,14,6,3,16,7,0,16,5,2
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905245,Chinamanoor,13,4,1,18,0,0,7,4,7
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905247,Muthnoor,0,0,0,0,0,0,0,0,0
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905250,Machapurtanda,24,4,0,23,3,2,21,2,5
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905251,Inkerguda,11,8,1,17,3,0,12,7,1
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905267,Mannur-III,72,0,0,70,2,0,62,8,2
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905268,Mannur-IV,59,5,6,65,5,0,48,15,7
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905296,Telangaraoguda (Mini),3,0,0,3,0,0,0,2,1
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905298,Neradigonda (Mini),9,2,0,11,0,0,4,6,1
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905303,Belluri (Mini),14,2,0,16,0,0,6,5,5
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905304,Mamidiguda(Mini),7,1,0,8,0,0,1,3,4
2022,2,ADILABAD,ADILABAD(U),MANNUR,1905305,Tekidiguda (Isruguda) (Mini),10,0,0,10,0,0,4,2,4
