Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2020,11,SANGAREDDY,ZAHEERABAD,Hadnur,1711246,Thatpally,35,0,0,35,0,0,25,6,4
2020,11,SANGAREDDY,ZAHEERABAD,Huggelli,1711092,Hugelli - II,33,16,6,55,0,0,7,5,43
2020,11,SANGAREDDY,ZAHEERABAD,Huggelli,1711093,Hugellei Thanda,16,1,1,17,0,1,8,4,6
2020,11,SANGAREDDY,ZAHEERABAD,Dhanasiri,1711042,Gopanpally-I,27,18,6,42,3,6,18,10,23
2020,11,SANGAREDDY,ZAHEERABAD,Dhanasiri,1711063,Asad Gunj I,20,6,5,31,0,0,10,10,11
2020,11,SANGAREDDY,ZAHEERABAD,Dhanasiri,1711068,Mannapur - I,52,3,4,54,1,4,17,7,35
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711112,Sanjeevanagar,35,1,1,35,2,0,11,10,16
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711113,Jangirwada,16,19,27,62,0,0,2,1,59
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711117,Bidar Base,25,9,9,42,0,1,7,12,24
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711124,Bilalpur-III,18,13,16,47,0,0,2,5,40
2020,11,MEDAK,ALLADURG,Uttuloor,1703275,Jukal - 3,42,16,4,60,0,2,20,10,32
2020,11,MEDAK,ALLADURG,Uttuloor,1703283,Dhanampally,18,3,3,22,2,0,14,1,9
2020,11,MEDAK,ALLADURG,Shankarampet-A,1703123,M Laxmapur - 2,19,6,7,32,0,0,11,6,15
2020,11,MEDAK,ALLADURG,Shankarampet-A,1703248,Raghavathanda,14,11,2,25,0,2,9,4,14
2020,11,MEDAK,ALLADURG,Shankarampet-A,1703254,Shankarampet A - 1,14,0,0,13,0,1,11,1,2
2020,11,SANGAREDDY,ZAHEERABAD,Hadnur,1711239,Hadnoor -III,54,7,2,59,2,2,30,14,19
2020,11,SANGAREDDY,ZAHEERABAD,Hadnur,1711247,Rukumapur,22,14,10,46,0,0,1,0,45
2020,11,SANGAREDDY,ZAHEERABAD,Hadnur,1711249,Mirzapur-N,52,10,6,64,4,0,26,23,19
2020,11,SANGAREDDY,ZAHEERABAD,Hadnur,1711271,Husselly,10,10,13,31,2,0,4,3,26
2020,11,SANGAREDDY,ZAHEERABAD,Huggelli,1711095,Ranjol - I,14,7,4,21,3,1,10,3,12
2020,11,SANGAREDDY,ZAHEERABAD,Huggelli,1711098,Ranjol - IV,7,6,4,13,3,1,6,5,6
2020,11,SANGAREDDY,ZAHEERABAD,Huggelli,1711328,Anand Nagar - II,23,17,20,54,3,3,15,15,30
2020,11,SANGAREDDY,ZAHEERABAD,Dhanasiri,1711319,Gudpally - II,47,9,3,59,0,0,1,1,57
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711107,Bharwadi,29,4,8,40,1,0,5,16,20
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711109,Shakewadi,8,14,19,41,0,0,2,0,39
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711130,Maniyarpally-I,3,7,40,25,9,16,9,7,34
2020,11,SANGAREDDY,ZAHEERABAD,Kohir,1711338,Maniyarpally,1,1,0,1,0,1,1,0,1
2020,11,MEDAK,ALLADURG,Shankarampet-A,1703255,Shankarampet A - 2,23,8,2,31,0,2,15,4,14
2020,11,MEDAK,ALLADURG,Shankarampet-A,1703360,Jamulanaik Thanda (Mini),16,4,2,22,0,0,10,1,11
2020,11,SANGAREDDY,ZAHEERABAD,Hadnur,1711244,Gunjati -II,34,1,2,37,0,0,0,0,37
2020,11,SANGAREDDY,ZAHEERABAD,Hadnur,1711248,Mungi,33,11,10,48,3,3,19,4,31
