Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703066,SR MALLAREDDYPALLY,0,0,0,0,0,0,0,0,0
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703291,Annasagar - 2,0,0,0,0,0,0,0,0,0
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703292,Kansanpally - 3,1,0,1,2,0,0,0,0,2
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703051,Tadmanoor - 2,30,1,0,31,0,0,2,3,26
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703053,Aksanpally - 1,15,9,4,27,1,0,9,6,13
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703068,Neredigunta - 1,14,5,0,19,0,0,2,3,14
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703293,Ramsanpally LT,0,0,0,0,0,0,0,0,0
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703302,KODEKAL-2,16,3,1,18,2,0,3,11,6
2018,9,SANGAREDDY,JOGIPET,Singoor,1703154,Singoor - 2,0,0,1,0,1,0,0,0,1
2018,9,SANGAREDDY,JOGIPET,Singoor,1703169,S Peddareddipet,0,1,0,1,0,0,0,0,1
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703037,Tallelma - 1,0,0,0,0,0,0,0,0,0
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703303,NEERADIGUNTA-3,1,0,0,1,0,0,0,1,0
2018,9,SANGAREDDY,JOGIPET,Singoor,1703162,S Itkyala - 2,0,0,0,0,0,0,0,0,0
2018,9,SANGAREDDY,JOGIPET,Singoor,1703170,Manthoor - 1,7,2,3,11,1,0,3,5,4
2018,9,SANGAREDDY,JOGIPET,Singoor,1703310,RAIPAD-2 (Mini),0,0,0,0,0,0,0,0,0
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703017,Annasagar - 1,12,3,1,15,0,1,10,2,4
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703064,Kansanpally - 1,17,7,3,26,1,0,7,9,11
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703072,Ramsanpally - 1,23,4,2,27,0,2,7,7,15
2018,9,SANGAREDDY,JOGIPET,Ramsanpally,1703073,Ramsanpally - 2,0,0,1,0,0,1,1,0,0
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801004,Siddapoor-1,9,13,0,22,0,0,0,0,22
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801006,Khudavanpur-1,12,6,3,21,0,0,0,3,18
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801011,Shahpoor-2,17,12,2,31,0,0,2,0,29
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801020,Bzarkothur,14,7,4,25,0,0,1,1,23
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801023,Jojipet,12,10,7,29,0,0,1,2,26
2018,9,NIZAMABAD,ARMOOR,Mamidipally,1801120,Perkit-1,98,35,51,184,0,0,7,10,167
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801003,Vannel K -3,11,10,5,26,0,0,1,2,23
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801012,Ummeda-1,16,5,2,23,0,0,2,2,19
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801013,Ummeda-2,25,23,4,52,0,0,5,0,47
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801019,Thalveda-2,27,11,8,46,0,0,2,3,41
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801021,Ch Kondoor-1,5,0,0,5,0,0,0,0,5
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801297,Badguna -1,29,17,7,53,0,0,3,2,48
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801305,Zoorpoor ,8,1,0,9,0,0,1,1,7
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801322,CH. Kondoor  [Mini],45,23,6,74,0,0,1,9,64
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801002,Vannel K -2,23,10,4,37,0,0,3,3,31
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801007,Khudavanpur-2,15,9,12,36,0,0,1,2,33
2018,9,NIZAMABAD,ARMOOR,Bazarkothur,1801299,Talveda ,35,18,7,60,0,0,5,0,55
2018,9,NIZAMABAD,ARMOOR,Mamidipally,1801127,Perkit-8,29,24,13,66,0,0,4,3,59
2018,9,NIZAMABAD,ARMOOR,Mamidipally,1801106,Ankapoor-3,13,15,12,40,0,0,1,2,37
2018,9,WANAPARTHY,PEBBAIR,Annaram,1410053,Gopulapur - II,7,9,4,2,7,11,19,0,1
2018,9,WANAPARTHY,PEBBAIR,Annaram,1410279,Davajipalli Thanda (Mini),1,1,2,1,0,3,4,0,0
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410005,Akmonipally,1,1,0,1,0,1,2,0,0
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410012,Bandapally,15,12,1,27,1,0,7,7,14
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410036,Chikkepally-II,10,9,4,21,0,2,6,4,13
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410086,Jammapur-II,12,5,0,11,5,1,9,7,1
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410119,Kothapeta,7,6,4,15,1,1,6,4,7
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410121,Kothepally-II,13,11,2,25,1,0,4,6,16
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410162,Nizamabad,9,3,0,12,0,0,3,3,6
2018,9,WANAPARTHY,PEBBAIR,Pangal,1410271,Guniginjamitla thanda (Mini),9,3,0,12,0,0,5,4,3
2018,9,WANAPARTHY,PEBBAIR,Chinnadagada,1410003,Ayyawari pally - 1,20,5,0,24,0,1,2,0,23
2018,9,WANAPARTHY,PEBBAIR,Chinnadagada,1410004,Ammaipally,40,14,7,55,4,2,27,25,9
2018,9,WANAPARTHY,PEBBAIR,Chinnadagada,1410030,Chinnamaroor,12,10,1,20,1,2,7,5,11
2018,9,WANAPARTHY,PEBBAIR,Chinnadagada,1410046,Gaddabaswapur,16,10,3,28,1,0,7,5,17
2018,9,WANAPARTHY,PEBBAIR,Chinnadagada,1410105,Kalur,10,1,0,11,0,0,7,2,2
2018,9,WANAPARTHY,PEBBAIR,Chinnadagada,1410128,Laxmipally-II,15,1,1,16,0,1,11,6,0
2018,9,WANAPARTHY,PEBBAIR,Annaram,1410043,Dawajipally-II,0,0,0,0,0,0,0,0,0
2018,9,WANAPARTHY,PEBBAIR,Annaram,1410207,Remuddula-II,25,9,3,35,2,0,15,7,15
2018,9,WANAPARTHY,PEBBAIR,Annaram,1410232,Shagapur-III,17,9,5,28,2,1,8,10,13
2018,9,KAMAREDDY,YELLAREDDY,Gandhari,1810257,Gandhari  Indiranagar (Mini),15,6,1,22,0,0,4,10,8
2018,9,KAMAREDDY,YELLAREDDY,Gandhari,1810259,Gudimettu (Mini),6,6,3,13,1,1,5,1,9
2018,9,KAMAREDDY,YELLAREDDY,Gdr_Neral,1810202,Somlanayak Tanda,20,3,4,27,0,0,14,7,6
2018,9,KAMAREDDY,YELLAREDDY,Gdr_Neral,1810207,Golladi Tanda,35,11,5,45,2,4,26,10,15
2018,9,KAMAREDDY,YELLAREDDY,Gdr_Neral,1810208,Lonka Tanda,15,1,2,16,1,1,10,5,3
