Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,VELISHALA,2102046,Garimillapally-I,0,0,0,0,0,0,0,0,0
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,VELISHALA,2102063,Pangidipally I,0,0,0,0,0,0,0,0,0
2019,4,ADILABAD,ADILABAD(U),CHANDA,1901009,Beemsari-II,21,0,0,21,0,0,19,2,0
2019,4,ADILABAD,ADILABAD(U),CHANDA,1901076,Landasangvi -2,22,5,3,30,0,0,16,4,10
2019,4,ADILABAD,ADILABAD(U),CHANDA,1901085,Tippa,3,2,0,5,0,0,2,1,2
2019,4,ADILABAD,ADILABAD(U),CHANDA,1901342,KOLAMGUDA-II(PPL) (Mini),5,1,0,6,0,0,5,0,1
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Regonda,2113104,Thirumalagiri - II,0,0,0,0,0,0,0,0,0
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Regonda,2113238,Balaiahpally,8,4,3,13,0,2,8,0,7
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Ghanpur,2111099,Ghanpur - I,10,8,0,18,0,0,4,3,11
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Ghanpur,2111192,Bobbulampalli,13,2,0,15,0,0,7,4,4
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,VELISHALA,2102047,Garimillapally-II,0,0,0,0,0,0,0,0,0
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Regonda,2113084,Regonda - IV,12,2,0,14,0,0,11,0,3
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Regonda,2113088,Repakapally,38,5,2,44,0,1,16,3,26
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Regonda,2113098,Bhagirthipeta - III,20,4,3,25,0,2,12,6,9
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Ghanpur,2111106,Basavarajpalli,5,4,0,9,0,0,5,0,4
2019,4,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,Ghanpur,2111197,Baswarajpalli thanda,6,2,0,8,0,0,4,2,2
2019,4,ADILABAD,ADILABAD(U),CHANDA,1901008,Beemsari-I,33,3,0,36,0,0,27,6,3
2019,4,ADILABAD,ADILABAD(U),CHANDA,1901026,KHANAPUR-I,30,6,0,36,0,0,21,8,7
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012044,KUNDANNAPALLY,2,0,1,3,0,0,0,0,3
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012052,AKINAPALLY,15,2,1,16,0,2,7,1,10
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Janagam,2013038,Bus stand colony -1,59,1,0,55,3,2,55,1,4
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012051,RAIDANDI,0,0,0,0,0,0,0,0,0
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012054,MURMOOR,4,7,2,11,1,1,4,1,8
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Janagam,2013042,Vidhyanagar -2,24,0,0,21,2,1,21,1,2
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Janagam,2013137,Janagam-3,0,0,0,0,0,0,0,0,0
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Janagam,2013032,Ganeshnagar-2,8,1,0,9,0,0,2,1,6
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Janagam,2013039,Jai Bheem Nagar,11,4,0,13,1,1,12,2,1
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Janagam,2013049,Ramnagar -3 (I),41,0,0,39,1,1,35,1,5
2019,4,JANGAON,STN.GHANPUR,NIDIGONDA,2107097,Dasannagudam,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,STN.GHANPUR,NIDIGONDA,2107131,Banajipet 2,0,1,0,1,0,0,0,0,1
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012055,MURMUR-1,38,2,0,38,0,2,32,4,4
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012059,POTYALA-i,1,3,3,6,1,0,2,0,5
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012060,POTYALA-II,2,0,0,2,0,0,2,0,0
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Anthargam,2012063,SOMANPALLY,7,1,0,6,2,0,4,3,1
2019,4,PEDDAPALLI,RAMAGUNDAM (U),Janagam,2013033,Ganeshnagar -3,24,1,0,25,0,0,21,0,4
2019,4,JANGAON,STN.GHANPUR,NIDIGONDA,2107136,Madaram,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,STN.GHANPUR,RAGHUNADHPALLI,2107077,Raghunathapalli 3,0,0,0,0,0,0,0,0,0
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201039,Tirumalakunta,15,7,2,24,0,0,8,7,9
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201040,Tirumalakunta-II,20,9,1,29,0,1,12,10,8
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201044,Asupaka colony -1,23,8,6,33,4,0,13,13,11
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201060,Tirumalakunta colony,10,2,1,13,0,0,8,2,3
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201037,K M Gudem,21,3,1,25,0,0,17,1,7
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201051,Vedanthapuram,1,0,0,1,0,0,0,0,1
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201074,Dabbathogu,15,2,1,17,0,1,11,4,3
2019,4,ADILABAD,JAINAD,Boraj,1901326,GUDA-II (BORAJ),15,5,5,23,1,1,7,11,7
2019,4,ADILABAD,JAINAD,Boraj,1901300,Kouta,20,8,5,31,2,0,9,12,12
2019,4,ADILABAD,JAINAD,Boraj,1901379,Kouta (Mini),9,8,15,7,5,20,18,4,10
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201041,Reddigudem,7,2,0,8,1,0,7,2,0
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201058,VinayakapuramSC,0,0,0,0,0,0,0,0,0
2019,4,ADILABAD,JAINAD,Boraj,1901138,MANDAGADA(BORAJ),23,16,15,25,6,23,34,7,13
2019,4,ADILABAD,JAINAD,Boraj,1901289,Pusai,2,0,0,1,1,0,2,0,0
2019,4,ADILABAD,JAINAD,Boraj,1901303,Dajin Nagar,23,10,12,34,7,4,16,9,20
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201065,Asupakathanda,14,6,1,18,2,1,12,7,2
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201038,Usullagudem,9,3,2,11,1,2,9,2,3
2019,4,BHADRADRI-KOTHAGUDEM,ASWARAOPET (T),Asupaka,2201197,Guttagudem (Mini),3,7,1,11,0,0,2,8,1
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108058,Palakurthy-III,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108073,Vavilala-II,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108056,Palakurthy-I,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108204,Musukulagudem (Mini),0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108060,Palakurthy-V,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108190,TSK Thanda,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108170,Naraboinagudem,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108072,Vavilala-I,0,0,0,0,0,0,0,0,0
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108086,Dardepally - I,27,4,10,40,1,0,18,6,17
2019,4,JANGAON,KODAKANDLA,Palakurthi,2108088,Dardepally - III,0,0,0,0,0,0,0,0,0
