Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2019,11,RANGAREDDY,HAYATHNAGAR,Nadergul,1503076,Ragannaguda-2,19,4,2,25,0,0,15,6,4
2019,11,RANGAREDDY,HAYATHNAGAR,Nadergul,1503236,Gandhinagar,43,12,4,59,0,0,28,19,12
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503097,Balapur - II,19,6,2,23,3,1,11,4,12
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503115,Babanagar,66,6,0,64,6,2,53,8,11
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503117,Sajied Nagar,50,17,8,74,1,0,28,22,25
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503230,Ambedkhar Colony,44,7,2,52,1,0,33,10,10
2019,11,RANGAREDDY,MAHESHWARAM,Ameerpet,1505045,Nagaram Thanda,23,2,2,25,2,0,14,4,9
2019,11,RANGAREDDY,MAHESHWARAM,Ameerpet,1505131,Nandupally  Thanda mini AW School,9,0,0,9,0,0,5,3,1
2019,11,RANGAREDDY,HAYATHNAGAR,Nadergul,1503085,Jillaluguda - I,53,4,1,45,11,2,52,0,6
2019,11,RANGAREDDY,HAYATHNAGAR,Nadergul,1503235,Pash Colony,20,2,2,20,3,1,13,5,6
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503100,Sunrise Nagar,8,7,1,16,0,0,7,3,6
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503223,Ranganayakula Thanda,51,21,8,71,7,2,34,27,19
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503227,Sulthanpur,31,1,0,29,1,2,29,3,0
2019,11,RANGAREDDY,HAYATHNAGAR,Balapur,1503229,Vadi-Udha,64,8,4,76,0,0,38,13,25
2019,11,RANGAREDDY,MAHESHWARAM,Ameerpet,1505022,Ameerpet I,71,4,1,70,1,5,43,24,9
2019,11,RANGAREDDY,MAHESHWARAM,Ameerpet,1505030,kalwakol,44,18,3,61,3,1,32,16,17
2019,11,RANGAREDDY,HAYATHNAGAR,Nadergul,1503072,Nadergul - II,47,6,0,53,0,0,26,20,7
2019,11,RANGAREDDY,HAYATHNAGAR,Nadergul,1503081,Almasguda - II,90,20,6,110,4,2,77,21,18
2019,11,RANGAREDDY,HAYATHNAGAR,Nadergul,1503087,Jillaluguda - III,39,13,3,52,1,2,31,11,13
2019,11,NARAYANPET,NARAYANPET,Koallampally,1415079,Kollampally-4,18,13,10,17,14,10,21,12,8
2019,11,ADILABAD,UTNUR,MUTHNOOR,1914128,Dhanora-B,52,1,0,53,0,0,28,6,19
2019,11,ADILABAD,UTNUR,MUTHNOOR,1914240,MendapallyGuda(Mini),29,3,0,32,0,0,11,3,18
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914054,Tatiguda,14,1,0,15,0,0,5,0,10
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914060,Chinthaguda-G,10,0,0,10,0,0,6,0,4
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914071,Narsapur-J,13,0,0,13,0,0,9,1,3
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914075,Yellaguda,31,2,0,33,0,0,16,1,16
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914201,Cheruvuguda (Mini),18,1,2,21,0,0,14,4,3
2019,11,ADILABAD,UTNUR,MUTHNOOR,1914121,Devepur,58,0,1,59,0,0,30,7,22
2019,11,ADILABAD,UTNUR,MUTHNOOR,1914131,Janathaguda,84,4,0,87,0,1,43,17,28
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914207,Dharmajipet (Mini),23,1,0,24,0,0,12,2,10
2019,11,NARAYANPET,NARAYANPET,Koallampally,1415082,Vandaragutta Tanda,3,3,3,3,6,0,4,1,4
2019,11,NARAYANPET,NARAYANPET,Koallampally,1415084,Lingampally-1,13,20,7,26,10,4,18,10,12
2019,11,ADILABAD,UTNUR,MUTHNOOR,1914126,Ginnera Markaguda,46,3,2,51,0,0,30,6,15
2019,11,ADILABAD,UTNUR,MUTHNOOR,1914130,Inkarguda,45,1,0,46,0,0,17,9,20
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914077,inkarguda-k,10,1,0,11,0,0,9,0,2
2019,11,ADILABAD,UTNUR,DANTHANPALLY,1914285,Heerapur (Jendaguda) (Mini),16,2,0,18,0,0,15,1,2
2019,11,NARAYANPET,NARAYANPET,Koallampally,1414304,Laxmipur thanda (Mini),5,1,3,7,1,1,4,2,3
2019,11,NARAYANPET,NARAYANPET,Koallampally,1415112,Anthwar 1,2,4,1,3,4,0,5,2,0
2019,11,ADILABAD,JAINAD,Boraj,1901138,MANDAGADA(BORAJ),19,6,6,28,2,1,13,7,11
2019,11,ADILABAD,JAINAD,Boraj,1901289,Pusai,8,0,1,7,0,2,8,1,0
2019,11,ADILABAD,JAINAD,Boraj,1901303,Dajin Nagar,16,2,3,20,0,1,8,8,5
2019,11,ADILABAD,JAINAD,Boraj,1901293,Taroda-B,20,0,0,20,0,0,9,2,9
2019,11,ADILABAD,JAINAD,Boraj,1901300,Kouta,18,12,7,36,1,0,8,12,17
2019,11,ADILABAD,JAINAD,Boraj,1901379,Kouta (Mini),24,4,1,28,0,1,10,13,6
