Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809208,Navipet-1,24,10,8,27,9,6,21,9,12
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809221,Nizampoor,63,14,3,66,8,6,49,14,17
2020,10,NIZAMABAD,DICHPALLY,Abhangapat,1809291,Abangapatnam,36,26,37,29,20,50,61,25,13
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809213,Navipet-6,30,13,10,53,0,0,8,11,34
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809214,Navipet-7,51,7,10,63,2,3,20,12,36
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809227,Kamalapoor-1,26,12,0,35,1,2,15,12,11
2020,10,NIZAMABAD,DICHPALLY,Abhangapat,1809234,Daryapoor Tanda,49,21,16,66,9,11,45,21,20
2020,10,NIZAMABAD,DICHPALLY,Abhangapat,1809236,Abbapoor M,49,14,2,63,2,0,41,17,7
2020,10,NIZAMABAD,DICHPALLY,Abhangapat,1809327,Mettaiah Faram,35,7,2,40,1,3,26,10,8
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809298,Thadgam,38,10,5,51,1,1,16,8,29
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809380,Aljapoor (Mini),9,7,4,17,0,3,8,3,9
2020,10,NIZAMABAD,DICHPALLY,Abhangapat,1809230,Mokanpally,47,29,12,76,7,5,43,19,26
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809209,Navipet-2,68,5,2,66,7,2,56,7,12
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809218,Binola-2,53,4,2,55,3,1,37,14,8
2020,10,NIZAMABAD,DICHPALLY,Abhangapat,1809243,Nagepoor-2,44,5,9,42,7,9,44,9,5
2020,10,NIZAMABAD,DICHPALLY,Abhangapat,1809286,Fakeeabad,31,10,3,39,2,3,28,11,5
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809211,Navipet-4,38,4,4,24,8,14,41,3,2
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809220,Naleshwar-2,119,26,19,136,4,24,94,38,32
2020,10,NIZAMABAD,DICHPALLY,Navipet,1809284,Kamalapoor-2,13,18,12,38,3,2,6,11,26
2020,10,NIZAMABAD,BODHAN,Varni,1804219,Kunipur,10,4,4,16,0,2,15,1,2
2020,10,SANGAREDDY,ZAHEERABAD,Nyalkal,1711278,Chanagapally,11,17,21,16,14,19,28,9,12
2020,10,ADILABAD,JAINAD,Tamsi,1901148,Waddadi,38,16,0,53,1,0,20,19,15
2020,10,NIZAMABAD,BODHAN,Varni,1804213,Old Varni-1,5,5,2,10,0,2,10,0,2
2020,10,NIZAMABAD,BODHAN,Varni,1804247,Paidmal,39,4,1,40,3,1,12,6,26
2020,10,SANGAREDDY,ZAHEERABAD,Nyalkal,1711234,Nyalkal-I,42,15,5,60,2,0,14,8,40
2020,10,ADILABAD,JAINAD,Tamsi,1901147,Atnamguda,15,4,2,19,2,0,9,7,5
2020,10,ADILABAD,JAINAD,Tamsi,1901154,Jamdi,47,11,2,59,0,1,11,21,28
2020,10,NIZAMABAD,NIZAMABAD (U),Chandra Shekar Colony,1808055,Yellamma Gutta-1,1,2,0,2,0,1,2,1,0
2020,10,NIZAMABAD,BODHAN,Varni,1804211,Pottigutta,40,8,2,44,0,6,22,13,15
2020,10,NIZAMABAD,BODHAN,Varni,1804326,Edipally thanda (Mini),3,2,3,8,0,0,7,1,0
2020,10,SANGAREDDY,ZAHEERABAD,Nyalkal,1711236,Nyalkal -III,20,3,5,22,2,4,14,5,9
2020,10,ADILABAD,JAINAD,Tamsi,1901156,Khapparla-I,35,8,3,42,1,3,16,13,17
2020,10,NIZAMABAD,NIZAMABAD (U),Chandra Shekar Colony,1808070,Hamalwada-3,0,0,0,0,0,0,0,0,0
2020,10,SANGAREDDY,ZAHEERABAD,Kohir,1711119,Khanapur,31,10,5,45,1,0,15,8,23
2020,10,SANGAREDDY,ZAHEERABAD,Kohir,1711121,Parsepally,56,10,4,70,0,0,19,13,38
2020,10,NIZAMABAD,BODHAN,Varni,1804206,S N Puram-2,13,7,9,28,0,1,24,2,3
2020,10,NIZAMABAD,BODHAN,Varni,1804295,Tagalipalli-2,2,4,7,4,0,9,11,0,2
2020,10,NIZAMABAD,BODHAN,Varni,1804304,Chinthalpet,3,0,4,7,0,0,5,1,1
