Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217028,Burravemula (Mini),12,2,3,13,0,4,13,3,1
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217035,K Kasinagaram,14,6,0,17,3,0,15,4,1
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217121,CHINANALLABELLIGUMPU (Mini),23,4,1,20,7,1,26,0,2
2021,4,SURYAPET,KODAD,Kodad ,2306254,Ananthagiri (Kodad-XIV),99,2,0,98,3,0,94,7,0
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217043,Mulakapadu,26,3,0,20,6,3,28,1,0
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217045,Pragalapally,20,5,1,23,1,2,19,5,2
2021,4,SURYAPET,KODAD,Kodad ,2306255,Brahmamgaristreet,8,1,2,9,0,2,9,2,0
2021,4,SURYAPET,KODAD,Kodad ,2306257,K.K.gudem road,10,0,0,10,0,0,10,0,0
2021,4,MANCHERIAL,CHENNUR,Tekumatla,1906202,Bejjala -2,27,0,0,27,0,0,22,5,0
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217031,Dummugudem &  II,14,3,0,17,0,0,14,0,3
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217117,Suravaram,15,10,3,13,7,8,22,3,3
2021,4,SURYAPET,KODAD,Kodad ,2306008,Kodad-VIII,81,1,0,72,6,4,67,6,9
2021,4,SURYAPET,KODAD,Kodad ,2306011,Kodad-XI,67,15,4,83,2,1,61,21,4
2021,4,MANCHERIAL,CHENNUR,Tekumatla,1906197,Nizamabadpally,0,0,0,0,0,0,0,0,0
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217032,Gangollu,18,4,1,21,2,0,15,6,2
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217049,Tailor peta,9,3,1,10,2,1,9,3,1
2021,4,SURYAPET,KODAD,Kodad ,2306258,Gudibanda Road,107,10,7,120,1,3,62,39,23
2021,4,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217037,Kesavapatnam (Mini),4,2,1,7,0,0,4,1,2
2021,4,BHADRADRI-KOTHAGUDEM,BURGAMPAHAD (T) ,aswapuram,2203124,Aswapuram-Vii,32,8,6,46,0,0,25,7,14
